"","date","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Netherlands","Poland","Portugal","Romania","Slovakia","Slovenia","Sweden","United.Kingdom"
"442",2021-04-07,4.45885576730417,4.49564965149113,23.1570138394943,7.87489273218545,2.05503145910659,19.4463745798043,0.533922968005441,11.5487386965776,0.960507031726997,6.78078571847148,2.73551135687109,8.93273492090473,35.3738495057075,2.12061399931488,9.99841847717012,4.94799913331889,4.47357797482199,5.53841542676749,4.66003051306936,1.96734633274782,14.1232627175464,0.82712044245689,10.2088865936922,18.0169568552594,4.70948259125343,2.1602737389402,0.82524206000104
"443",2021-04-08,4.6056029191395,4.64404973707433,23.6855823231842,8.51273451111636,2.05503145910659,18.9299329564874,0.465029681811191,11.6242206488429,0.924261483359941,6.95537901271909,2.86680626567732,9.12854643796006,35.3738495057075,2.16139503776324,10.0431504239611,5.15633593893232,4.50936659862056,4.23525885576337,4.66003051306936,1.94998739451769,15.2714526382718,0.82712044245689,10.3737122097357,18.5123314327462,4.75753853606214,2.17004873323405,0.810237658910111
"444",2021-04-09,4.78621479832144,4.6964262378684,24.3855784232059,9.34683529894908,2.28336828789621,18.573118744014,0.430583038714066,12.0016304101689,0.924261483359941,6.11076529866653,2.97160128463275,9.36165538683544,35.4761747863141,2.40608126845342,10.4755592429406,5.93759895998267,4.68830971761344,4.07236428438786,3.84959042383991,2.04835471115508,16.1220612263321,0.82712044245689,10.4664266187601,19.0444004233801,4.42114692240118,2.14072375035251,0.793732817710091
"445",2021-04-10,4.86523249546354,4.87101457384864,24.29986461504,9.73935331675272,2.28336828789621,18.3665420946872,0.447806360262628,12.0771123624341,0.924261483359941,6.13464130471748,2.99569209358802,9.38962846070049,35.3943145618288,2.6507674991436,10.4159166472193,5.93759895998267,4.72409834141202,4.07236428438786,3.44437037922518,2.00785052195145,16.914733625732,0.807658784987316,10.3479582072289,19.4663861745726,4.85365042567956,2.14072375035251,0.76672489574642
"446",2021-04-11,4.86523249546354,5.02814407623085,24.3998640579002,10.1809360867818,2.51170511668583,18.1599654453605,0.465029681811191,12.0771123624341,0.924261483359941,6.2017925717358,3.06073727776726,9.37097974479046,35.2510591689796,2.4264717876776,10.4722457654006,5.62509375156253,4.86725283660632,4.07236428438786,3.03915033461045,2.03678208566833,17.214948421518,0.768735470048169,10.4097678132452,19.6131638271612,4.85365042567956,2.14072375035251,0.745718734219121
"447",2021-04-12,4.86523249546354,5.08052057702493,24.3712927885116,10.3526627195709,2.28336828789621,17.6716933651336,0.482253003359753,11.9261484579037,0.942384257543469,6.23909883119041,3.20046396970783,9.47354768229563,36.2947770311671,2.40608126845342,10.3744981779684,5.57300955015917,4.9030414604049,5.04973171264094,2.83654031230309,2.08885890035871,17.2465499789692,0.729812155109021,10.3737122097357,19.9617607520593,4.90170637048827,2.14072375035251,0.733715213346379
"448",2021-04-13,4.96682667750338,5.23765007940714,23.9712950170706,10.5489217284727,2.1691998735014,17.0519634171534,0.499476324908316,11.5487386965776,0.924261483359941,6.18537781757576,3.31007715045432,9.66935919935095,36.2743119750457,2.48764334535015,10.2866910231565,5.67717795296588,5.26092769839066,5.53841542676749,2.63393028999572,2.08885890035871,17.7337406563412,0.759004641313382,10.4664266187601,20.0351495783537,4.32503503278377,2.24824868758483,0.685701129855409
"449",2021-04-14,4.96682667750338,5.12416766101999,23.9141524782933,11.0886340029527,2.05503145910659,15.9909106274296,0.482253003359753,11.6997026011081,0.670542644790545,6.17642431530666,3.41848579075304,9.71598098912603,36.1003589980145,2.54881490302269,10.2900045006965,6.25010416840281,5.15356182699493,6.18999371226954,2.228710245381,2.07728627487196,18.1313935876016,0.807658784987316,10.6467046363076,19.7966358928971,4.22892314316635,2.49262354493101,0.678198929309945
"450",2021-04-15,5.02326788974774,5.15908532821603,23.7998674007388,11.6528786535454,2.39753670229102,15.4275197656294,0.447806360262628,11.7751845533733,0.706788193157602,6.15851731076844,3.43173573567844,10.0609822334616,36.0798939418932,2.34490971078088,10.0895391095221,6.09385156419274,5.26092769839066,5.86420456951852,1.82349020076627,2.02520946018158,18.2946683010992,0.720081326374234,10.9506018658878,19.9434135454858,4.22892314316635,2.57082349928178,0.648190127128089
"451",2021-04-16,5.03455613219661,5.22019124580912,23.7427248619615,12.0208642952364,2.62587353108064,14.5730436252324,0.482253003359753,11.1713289352516,0.743033741524658,6.15702506039025,3.55821248269361,10.2381450346069,35.813848212316,2.40608126845342,10.0033886934802,6.25010416840281,5.18935045079351,5.701309998143,2.02610022307363,2.00785052195145,18.5474807607085,0.671427182700299,10.9093954618769,20.0534967849273,4.03669936393151,2.83474834521565,0.621182205164419
